ID,dem_genero,dem_edad,dem_nivedu,WVOC_01_cod,WVOC_02_cod,WVOC_03_cod,WVOC_04_cod,WVOC_05_cod,WVOC_06_cod,WVOC_07_cod,WVOC_08_cod,WVOC_09_cod,WVOC_10_cod,WVOC_11_cod,WVOC_12_cod,WVOC_13_cod,WVOC_14_cod,WVOC_15_cod,WVOC_16_cod,WVOC_17_cod,WVOC_18_cod,WVOC_19_cod,WVOC_20_cod,WVOC_21_cod,WVOC_22_cod,WVOC_23_cod,WVOC_24_cod,WVOC_25_cod,WVOC_26_cod,WVOC_27_cod,WVOC_28_cod,WVOC_29_cod,WVOC_30_cod,WVOC_31_cod,WVOC_32_cod,WVOC_33_cod,WVOC_TOTAL,WVOC_TOTAL_STD,WMAT_01_cod,WMAT_01_raw,WMAT_02_cod,WMAT_02_raw,WMAT_03_cod,WMAT_03_raw,WMAT_04_cod,WMAT_04_raw,WMAT_05_cod,WMAT_05_raw,WMAT_06_cod,WMAT_06_raw,WMAT_07_cod,WMAT_07_raw,WMAT_08_cod,WMAT_08_raw,WMAT_09_cod,WMAT_09_raw,WMAT_10_cod,WMAT_10_raw,WMAT_11_cod,WMAT_11_raw,WMAT_12_cod,WMAT_12_raw,WMAT_13_cod,WMAT_13_raw,WMAT_14_cod,WMAT_14_raw,WMAT_15_cod,WMAT_15_raw,WMAT_16_cod,WMAT_16_raw,WMAT_17_cod,WMAT_17_raw,WMAT_18_cod,WMAT_18_raw,WMAT_19_cod,WMAT_19_raw,WMAT_20_cod,WMAT_20_raw,WMAT_21_cod,WMAT_21_raw,WMAT_22_cod,WMAT_22_raw,WMAT_23_cod,WMAT_23_raw,WMAT_24_cod,WMAT_24_raw,WMAT_25_cod,WMAT_25_raw,WMAT_26_cod,WMAT_26_raw,WMAT_A,WMAT_B,WMAT_C,wmat_total,wmat_total_std,bfbs_01_cod,bfbs_01_conf,bfbs_01_raw,bfbs_03_cod,bfbs_03_conf,bfbs_03_raw,bfbs_04_cod,bfbs_04_conf,bfbs_04_raw,bfbs_10_cod,bfbs_10_conf,bfbs_10_raw,bfbs_12_cod,bfbs_12_conf,bfbs_12_raw,bfbs_14_cod,bfbs_14_conf,bfbs_14_raw,bfbs_17_cod,bfbs_17_conf,bfbs_17_raw,bfbs_23_cod,bfbs_23_conf,bfbs_23_raw,bfbs_conf_total,bfbs_cong_conf,bfbs_cong_total,bfbs_creib_conf,bfbs_creib_total,bfbs_incong_conf,bfbs_incon_total,bfbs_increib_conf,bfbs_increib_total,bfbs_invalid_conf,bfbs_invalid_total,bfbs_total,bfbs_valid_conf,bfbs_valid_total,EA_01_raw,EA_02_raw,EA_03_raw,EA_04_raw,EA_05_raw,EA_06_raw,EA_07_raw,EA_08_raw,EA_09_raw,EA_10_raw,EA_11_raw,EA_12_raw,EA_13_raw,EA_14_raw,EA_15_raw,EA_16_raw,EA_17_raw,EA_18_raw,EA_19_raw,EA_20_raw,EA_21_raw,EA_22_raw,EA_23_raw,EA_24_raw,EA_azar_TOTAL,EA_control_interno_TOTAL,EA_otros_poderosos_TOTAL,EAR_01_raw,EAR_02_raw,EAR_03_raw,EAR_04_raw,EAR_05_raw,EAR_06_raw,EAR_07_raw,EAR_08_raw,EAR_09_raw,EAR_10_raw,EAR_TOTAL,ECRRS_ansiedad_TOTAL,ECRRS_evitacion_TOTAL,ECRRS_madre_01_raw,ECRRS_madre_02_raw,ECRRS_madre_03_raw,ECRRS_madre_04_raw,ECRRS_madre_05_raw,ECRRS_madre_06_raw,ECRRS_madre_07_raw,ECRRS_madre_08_raw,ECRRS_madre_09_raw,ECRRS_madre_ansiedad_TOTAL,ECRRS_madre_evitacion_TOTAL,ECRRS_mejoramig_01_raw,ECRRS_mejoramig_02_raw,ECRRS_mejoramig_03_raw,ECRRS_mejoramig_04_raw,ECRRS_mejoramig_05_raw,ECRRS_mejoramig_06_raw,ECRRS_mejoramig_07_raw,ECRRS_mejoramig_08_raw,ECRRS_mejoramig_09_raw,ECRRS_mejoramigo_ansiedad_TOTAL,ECRRS_mejoramigo_evitacion_TOTAL,ECRRS_padre_01_raw,ECRRS_padre_02_raw,ECRRS_padre_03_raw,ECRRS_padre_04_raw,ECRRS_padre_05_raw,ECRRS_padre_06_raw,ECRRS_padre_07_raw,ECRRS_padre_08_raw,ECRRS_padre_09_raw,ECRRS_padre_ansiedad_TOTAL,ECRRS_padre_evitacion_TOTAL,ECRRS_pareja_01_raw,ECRRS_pareja_02_raw,ECRRS_pareja_03_raw,ECRRS_pareja_04_raw,ECRRS_pareja_05_raw,ECRRS_pareja_06_raw,ECRRS_pareja_07_raw,ECRRS_pareja_08_raw,ECRRS_pareja_09_raw,ECRRS_pareja_ansiedad_TOTAL,ECRRS_pareja_evitacion_TOTAL,GHQ_01,GHQ_02,GHQ_03,GHQ_04,GHQ_05,GHQ_06,GHQ_07,GHQ_08,GHQ_09,GHQ_10,GHQ_11,GHQ_12,GHQ_autoestima_TOTAL,GHQ_estres_TOTAL,GHQ_exito_afrontamiento_TOTAL,GHQ_TOTAL,wdig_dir_total,wdig_inv_total,WDIGSIMB_TOTAL,wdig_total,wdig_total_std,lkns_01_cod,lkns_01_raw,lkns_02_cod,lkns_02_raw,lkns_03_cod,lkns_03_raw,lkns_04_cod,lkns_04_raw,lkns_05_cod,lkns_05_raw,lkns_06_cod,lkns_06_raw,lkns_07_cod,lkns_07_raw,lkns_08_cod,lkns_08_raw,lkns_09_cod,lkns_09_raw,lkns_10_cod,lkns_10_raw,lkns_11_cod,lkns_11_raw,lkns_total,SASS_01_raw,SASS_02_raw,SASS_03_raw,SASS_04_raw,SASS_05_raw,SASS_06_raw,SASS_07_raw,SASS_08_raw,SASS_09_raw,SASS_10_raw,SASS_11_raw,SASS_12_raw,SASS_13_raw,SASS_14_raw,SASS_15_raw,SASS_16_raw,SASS_17_raw,SASS_18_raw,SASS_19_raw,SASS_20_raw,SASS_21_raw,SASS_TOTAL,SASS_trabajo,bayes_all_accuracy,bayes_all_confidence,bayes_pictorial_qualitative_accuracy,bayes_pictorial_quantitative_accuracy,bayes_text_qualitative_accuracy,bayes_text_quantitative_accuracy
1,1,38,4,2,2,2,1,2,2,2,2,1,0,1,0,0,2,0,2,0,0,1,0,0,1,0,0,2,2,0,0,0,0,0,0,0,27,7,1,3,1,3,1,2,1,2,1,3,1,1,1,5,0,4,0,5,0,5,0,3,0,1,0,4,0,5,0,3,0,1,0,4,0,5,0,4,0,3,0,3,0,5,0,2,0,5,0,2,0,2,2,5,4,7,6,1,50,1,1,100,2,1,100,1,1,100,1,0,100,1,1,100,1,1,50,2,1,100,2,87.5,75,1,87.5,0.75,100,0.75,87.5,1,87.5,0.75,7,87.5,1,3,3,3,3,3,3,-1,3,3,3,3,-3,3,3,3,-3,3,3,3,-2,3,-3,3,3,32,48,37,3,3,0,3,0,3,0,3,2,1,26,0.0833333333333333,0.375,1,1,1,1,0,0,0,0,1,0.333333333333333,0,0,0,0,0,0,0,0,0,0,0,0.666666666666667,0,0,0,1,1,1,0,0,0,0,0.833333333333333,1,1,1,1,0,0,0,0,0,0,0,2,2,2,2,2,2,2,2,0,0,0,2,8,5,12,25,13,8,54,21,14,0,500,0,10,0,10,0,b) 1 de cada 1000,0,b)10%,1,2,1,0,0,0,0,0,1,0,1,0,4,2,NA,2,1,2,3,1,1,1,2,3,3,3,0,0,2,3,2,2,2,3,38,1,0.5,0,1,NA,1,NA
2,0,67,2,2,2,2,1,0,0,1,2,1,2,0,0,1,0,1,1,0,2,0,0,0,2,1,0,2,2,0,0,0,0,0,0,0,25,9,1,3,1,3,0,5,1,2,1,3,0,2,0,2,0,4,0,2,0,5,0,2,0,3,0,5,0,4,0,3,0,3,0,4,0,4,0,3,0,2,0,5,0,3,0,3,0,3,0,1,0,3,2,5,4,4,6,1,100,1,1,100,2,1,100,1,0,100,2,1,100,2,1,100,1,0,100,1,0,100,1,100,100,0.75,100,0.75,100,0.5,100,0.5,100,0.5,5,100,0.75,2,3,3,-1,1,2,-1,2,3,3,3,1,2,2,1,1,1,2,2,-2,3,1,1,-1,34,37,35,3,3,2,2,0,3,2,3,1,1,26,0,0.25,1,1,1,1,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,2,2,2,2,2,2,2,2,2,0,1,2,9,3,12,22,5,4,25,9,8,0,0,0,0,0,0,0,c) 1 de cada 10,0,c) 5%,0,0,0,0,1,0,0,0,0,0,0,0,1,NA,2,2,1,0,2,1,2,2,2,2,2,3,2,1,0,2,2,1,1,2,32,0,0.25,37.5,1,0,0,NA
3,0,24,4,2,2,2,1,2,2,1,2,2,2,0,2,1,0,0,2,1,2,1,1,0,0,0,1,2,2,0,0,0,0,0,0,0,33,7,1,3,1,3,1,2,1,2,1,3,1,1,1,5,1,1,1,2,1,4,1,5,1,1,0,1,1,3,1,2,1,2,1,1,0,3,1,3,0,2,1,3,0,2,0,1,0,3,0,2,0,5,2,5,4,18,9,1,100,1,1,100,2,1,100,1,1,100,1,1,100,2,1,100,1,1,100,2,1,100,2,100,100,1,100,1,100,1,100,1,100,1,8,100,1,3,1,-3,-1,3,1,3,-3,3,3,-2,-2,-2,2,-2,-1,2,-1,3,-2,3,-3,3,3,34,40,9,3,2,0,3,0,3,2,2,2,0,29,0.25,0.5,1,1,1,0,1,0,0,1,0,0.333333333333333,0.333333333333333,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,1,0,0,1,1,0.666666666666667,0.666666666666667,1,1,2,2,1,0,1,2,0,0,0,2,6,7,10,23,8,6,73,14,8,1,700,1,100,1,0.1,1,a) 1 de cada 100,1,b)10%,1,2,1,2 de cada 100,0,10,1,100,0,20,0,5,8,3,NA,3,1,1,3,2,3,2,2,2,2,3,0,3,0,3,3,3,2,2,43,1,1,100,1,1,1,1
4,0,30,4,2,1,1,1,2,2,1,2,2,0,1,0,1,2,2,2,0,2,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,27,5,1,3,1,3,1,2,1,2,1,3,1,1,1,5,0,4,0,5,0,2,0,5,0,4,0,2,0,5,0,5,0,4,0,4,0,4,0,3,0,5,0,1,0,1,0,5,0,3,0,5,0,1,2,5,4,7,4,1,100,1,1,100,2,1,100,1,0,100,2,1,100,2,1,100,1,0,100,1,0,100,1,100,100,0.75,100,0.75,100,0.5,100,0.5,100,0.5,5,100,0.75,3,-3,-3,1,3,3,3,-3,3,3,-3,-3,-3,-3,-3,-3,-3,3,3,-3,3,-3,3,-2,19,46,0,3,3,0,3,0,3,3,0,0,0,35,0,0,1,1,1,1,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,2,1,2,2,0,0,2,2,0,0,0,2,6,8,12,26,7,6,67,13,8,0,500,1,30,0,1,1,c) 1 de cada 10,0,b)10%,1,2,1,2,1,10,0,1,0,20,1,1,6,3,NA,3,2,2,3,2,3,1,2,2,2,3,0,2,2,3,3,3,2,3,46,1,1,100,1,1,1,1
5,0,38,3,2,2,1,1,0,0,1,2,0,2,0,0,0,2,0,2,0,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,19,6,1,3,1,3,1,2,1,2,1,3,0,2,0,3,0,4,0,5,0,5,0,3,0,1,0,1,0,5,0,4,0,1,0,4,0,4,0,2,0,1,0,1,0,2,0,2,0,3,0,2,0,4,2,5,1,5,5,0,50,2,0,50,1,0,30,2,1,50,1,0,50,1,0,50,2,1,50,2,0,50,1,47.5,50,0.25,50,0,45,0.25,45,0.5,50,0.25,2,45,0.25,2,3,3,-3,-2,-2,-3,-2,3,3,-3,-3,-1,-1,-3,-3,2,2,2,-3,3,-3,3,-3,15,34,14,3,2,0,2,2,2,2,3,2,2,22,0.166666666666667,0.333333333333333,0,0,0,0,1,1,1,0,1,0.666666666666667,1,1,1,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0.333333333333333,1,1,1,1,0,0,0,0,0,0,0,1,1,3,3,2,2,1,3,2,2,0,3,8,4,14,24,5,2,67,7,4,0,6,0,2,0,3,0,a) 1 de cada 100,0,b)10%,1,2,1,3,0,50,0,500,0,10,0,5e3,2,3,NA,3,0,0,2,0,2,1,2,2,2,3,2,2,2,0,0,3,1,2,32,1,1,50,1,1,1,1
6,0,45,4,1,1,2,1,2,2,1,1,1,0,0,0,1,2,2,2,0,0,1,1,0,0,0,0,2,0,0,0,0,0,0,0,0,23,7,1,3,1,3,1,2,1,2,1,3,0,3,0,4,1,1,0,1,1,4,0,4,0,3,0,1,0,5,0,5,0,5,0,4,0,1,0,3,0,3,0,1,0,1,0,1,0,5,0,1,0,4,2,5,4,7,6,1,100,1,0,100,1,1,100,1,1,100,1,1,100,2,1,100,1,1,100,2,1,100,2,100,100,0.75,100,1,100,1,100,0.75,100,0.75,7,100,1,2,2,-2,3,-2,-2,-2,-2,-2,2,-2,-2,2,-2,1,-2,-2,2,3,-2,3,2,3,-2,16,36,19,2,3,1,2,1,2,1,2,2,1,23,0.166666666666667,0.333333333333333,1,0,1,1,0,1,1,0,0,0.333333333333333,0.333333333333333,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,1,1,1,0,0,1,0,0,0.333333333333333,0,3,2,3,3,1,0,2,3,1,1,1,3,5,5,17,26,7,3,55,10,7,0,40,0,200,0,2,0,c) 1 de cada 10,0,b)10%,1,2,1,2,1,50,0,20,0,10,0,500,3,NA,2,2,3,2,2,3,2,1,2,3,2,2,1,2,0,1,3,2,2,2,39,0,0.25,65,0,0,1,0
7,1,58,3,1,0,2,1,0,0,1,0,0,0,2,0,1,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,7,1,3,1,3,1,2,0,3,1,3,0,3,0,3,0,4,0,2,0,5,0,5,0,1,0,5,0,5,0,2,0,3,0,4,0,4,0,4,0,4,0,3,0,4,0,1,0,1,0,5,0,4,2,5,4,4,6,0,100,2,0,100,1,1,100,1,0,100,2,1,100,2,1,100,1,1,100,2,0,100,1,100,100,0.5,100,0.5,100,0.5,100,0.5,100,0.5,4,100,0.5,3,-3,3,-2,3,2,-3,3,3,-3,2,3,3,3,3,3,2,-3,2,1,3,3,2,2,28,35,44,3,3,0,3,1,3,3,3,1,1,29,0.25,0.333333333333333,0,0,0,0,0,0,0,0,0,0,0.666666666666667,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.666666666666667,1,1,1,1,0,0,1,1,1,1,0,1,2,2,2,2,2,1,2,2,3,0,1,7,3,9,17,6,5,19,11,10,0,0,0,0,0,0,0,c) 1 de cada 10,0,b)10%,0,0,1,0,1,0,0,0,0,0,0,0,2,3,NA,3,2,2,2,3,2,0,1,3,2,3,0,2,3,2,2,1,2,3,41,1,0.25,60,1,0,0,0
8,1,47,4,2,2,2,1,2,2,2,1,2,2,0,2,1,2,0,1,2,2,1,0,2,0,0,0,2,0,2,0,0,0,0,0,0,35,9,1,3,1,3,1,2,1,2,1,3,1,1,1,5,0,4,0,4,0,5,0,5,0,3,0,4,0,5,0,2,0,5,0,4,0,3,0,4,0,3,0,3,0,3,0,1,0,5,0,2,0,2,2,5,4,7,6,0,100,2,1,50,2,1,100,1,1,50,1,1,50,2,1,100,1,0,50,1,1,100,2,75,75,0.5,87.5,0.75,75,1,62.5,0.75,62.5,0.75,6,87.5,0.75,3,2,-3,-3,1,1,1,-3,3,-3,-3,-3,3,-3,2,-3,1,3,3,-3,3,-3,3,-3,13,40,15,3,3,0,2,1,3,1,0,2,2,27,0,0.166666666666667,1,0,0,1,1,1,0,0,0,0,0.666666666666667,1,1,1,1,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,2,0,2,2,1,0,2,2,0,0,0,2,6,8,12,26,8,4,60,12,8,0,500,1,100,1,0.1,1,c) 1 de cada 10,1,b)10%,1,2,1,2 de cada 100,1,10,1,100,0,20,1,20,9,3,NA,3,1,2,3,3,2,2,3,3,3,3,0,0,2,3,3,2,1,2,44,1,0.5,100,1,0,1,0
9,1,52,3,2,2,2,2,2,1,1,2,0,1,1,2,1,0,2,2,2,0,1,1,0,0,0,0,0,2,0,0,0,0,0,0,0,29,8,1,3,1,3,1,2,1,2,1,3,0,2,0,3,0,4,0,1,0,3,0,4,0,2,0,4,0,4,0,2,0,2,0,4,0,4,0,4,0,4,0,3,0,1,0,1,0,2,0,5,0,2,2,5,4,5,5,1,100,1,1,100,2,0,100,2,0,100,2,1,100,2,1,100,1,1,100,2,1,100,2,100,100,1,100,1,100,0.5,100,0.5,100,1,6,100,0.5,3,2,-3,3,3,3,-3,3,3,3,-3,3,3,3,3,3,3,3,3,-1,3,3,3,3,41,48,32,3,3,1,3,1,3,3,3,3,0,27,0.333333333333333,0.208333333333333,1,1,1,1,0,0,1,0,0,0.333333333333333,0,1,1,1,0,0,0,0,0,0,0,0.166666666666667,1,0,0,1,1,1,0,0,1,0.333333333333333,0.666666666666667,1,1,1,1,0,0,1,0,1,0.666666666666667,0,1,1,1,1,2,2,1,3,2,0,2,1,8,4,8,18,7,4,NA,11,7,0,600,0,1,0,1,1,c) 1 de cada 10,1,c) 5%,0,3,0,2%,1,10,0,1,0,1,0,1,3,3,NA,3,2,2,1,2,3,3,2,3,3,3,1,3,3,1,2,1,1,3,45,1,0.25,97.5,1,0,0,0
10,1,49,4,2,2,2,2,2,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,5,1,3,1,3,1,2,1,2,1,3,0,3,1,5,0,4,0,3,1,4,1,5,0,5,1,4,0,2,1,2,1,2,0,4,1,5,0,4,0,3,1,3,0,2,1,2,0,4,0,1,0,4,2,5,4,14,9,0,100,2,1,100,2,0,100,2,1,100,1,1,100,2,1,100,1,1,100,2,0,100,1,100,100,0.75,100,0.5,100,0.5,100,0.75,100,0.75,5,100,0.5,2,2,1,3,3,3,1,3,-3,-3,3,-2,3,1,3,1,-3,3,3,-3,3,3,3,-2,25,41,34,3,3,1,3,1,3,3,3,1,1,28,0.666666666666667,0.125,1,1,1,1,0,0,1,1,1,1,0,1,1,1,1,0,0,1,0,1,0.666666666666667,0,1,0,0,0,0,0,1,0,0,0.333333333333333,0.5,1,1,1,1,0,0,1,0,1,0.666666666666667,0,2,2,2,2,0,0,2,2,0,0,0,2,6,7,12,25,7,4,51,11,7,1,600,1,500,0,70,0,b) 1 de cada 1000,0,b)10%,1,2,1,200,0,50,0,500,0,20,0,5,4,3,NA,3,0,3,2,3,3,0,3,3,3,3,3,3,2,3,3,3,1,3,50,1,0,100,0,0,0,0
